Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Huston Street,LAA,2016,6.415218123,-0.564629734,5.965881772,-1.153558016,5.44152143,0.08860759,0.35443038,6.13,88.48563952,Huston Street,8258,434718
Aaron Blair,ATL,2016,6.14656071,-0.586022019,5.664253035,-1.980502009,5.487612023,0.06302521,0.3487395,5.45,89.12045686,Aaron Blair,14934,594760
Raúl Alcántara,OAK,2016,8.206260435,-0.598508716,5.57772504,-0.601188004,4.849056933,0.17283951,0.48148148,9.19,92.57403721,Raul Alcantara,12790,593417
Lucas Giolito,WSN,2016,8.209061137,-0.599118084,5.817236621,-0.839210033,5.965176401,0.09090909,0.42857143,8.54,91.41121529,Lucas Giolito,15474,608337
Neil Ramírez,- - -,2016,7.729893352,-0.612122133,6.033761336,0.179283986,5.288614178,0.15384615,0.43076923,6.17,91.94914125,Neil Ramirez,7677,519166
Michael Blazek,MIL,2016,5.711076117,-0.615930378,5.645193214,0.141246036,5.058656431,0.06617647,0.33823529,5.38,88.01202947,Michael Blazek,9654,518468
Cesár Ramos,TEX,2016,6.608099583,-0.646879567,5.43193244,-0.263086021,5.270052353,0.07317073,0.35365854,5.6,88.04155483,Cesar Ramos,3357,459987
Carlos Villanueva,SDP,2016,5.173587619,-0.661727726,4.010258587,-1.044237971,3.712231791,0.08230453,0.36213992,5.21,89.52160073,Carlos Villanueva,4138,453646
Javier López,SFG,2016,5.396562046,-0.693315983,5.120802374,-0.333972007,4.963011024,0.04651163,0.3372093,4.34,87.84133801,Javier Lopez,1663,425657
Tim Lincecum,LAA,2016,7.16395222,-0.708031356,5.519139024,-2.400771856,5.345724703,0.08391608,0.41958042,7.09,90.93034319,Tim Lincecum,5705,453311
Brian Matusz,- - -,2016,14.47989131,-0.711520046,8.589227141,-0.461810008,7.459687146,0.15,0.4,13.6,88.42938389,Brian Matusz,2646,451085
Jonathon Niese,- - -,2016,5.617634753,-0.734475477,4.487162728,-0.984628007,4.651251993,0.06127451,0.35539216,5.49,89.41038929,Jonathon Niese,4424,477003
